Num. del producto,Nombre del producto,Calidad del producto,Precio del producto 
1,Collar de corazon con alas ,Plata .925,$250 
2,collar de ojo con dije ,oro laminado,$250 
3,collar de dije con pluma,Plata .925,$250 
4,collar de corazon morado con alas,Plata .925,$250 
5,collar de dije gato con corazon azul,Plata .925,$250 
6,collar de caballito de mar,Plata .925,$250 
7,collar de colibri con zirconia,Plata .925,$220 
8,collar con aretes piedra negra,Plata .925,$380 
9,dije y aretes de gato sentado en la luna,Plata .925,$200 
10,pulsera de media bolitas,plata .925 con oro,$150 
11,collar de libelula con piedra azul,Plata .925,$250 
12,pulsera de piedras blancas,Plata .925,$230 
13,tobillera de corazon,Plata .925,$180 
14,pulsera de corazones,Plata .925,$180 
15,tobillera de hello kitty ajustable,Plata .925,$180 
16,pulsera de bolitas,Plata .925,$150 
17,collar de corazon de angel,Plata .925,$250 
18,collar de libelula con zirconias,Plata .925,$250 
19,collar de corazon con piedra colgante,Plata .925,$250 
20,cadena con dije de cruz efecto oro,Plata .925,$230 
21,tobillera de cruz con piedras rojas,Plata .925,$180 
22,Anillos de medio dedo ajustables,Plata .925,$140 
23,Anillo ajustable de mariposa con zirconia,Plata .925,$230 
24,Anillo de mariposa mitad brillos ajustable ,Plata .925,$230 
25,Anillo de mano de fatima,Plata .925,$250 
26,Anillo de gato con destellos ajustable,Plata .925,$230 
27,Anillo de estrella ajustable ,Plata .925,$200 
28,pulsera sencilla,Plata .925,$100 
29,Anillo de luna y estrella con zirconia,Plata rosa,$250 
30,collar con aretes piedra roja,Plata .925,$380 
31,Aretes de corazon con brillos,Plata .925,$200 
32,Anillo de serpiente ajustable con zirconia,Plata .925,$270 
33,Collar de sol con brillos,Plata .925,$250 
34,Collar de corazon sin brillo,Plata .925,$250 
35,Collar de torre eiffel con zirconia,Plata .925,$200 
36,Pulsera de plata con 3 bolitas,Plata .925,$150 
37,Esclava para hombre,Plata .925,$250 
38,Pulsera de piedritas,Plata .925,$230 
39,Pulsera de piedritas con corazones,Plata .925,$230 
40,Tobillera de mariposa,Plata .925,$180 
41,Collar de corazon y alas negro,Plata .925,$230 
42,Anillo de mariposa ajustable,Plata .925,$230 
43,Anillo de medio de serpiente,Plata .925,$140 
44,cOLLAR DE SERPIENTE CON ZIRCONIA,Plata .925,$300 
45,Anillo de mariposa con zirconias,Plata .925,$280 
46,Collar y aretes de ojo,Plata .925,$280 
47,Collar de ojo turco con zirconias,Plata .925,$350 
48,Pulsera unisex,Plata .925,$150 
49,Collar de luna y sol con zirconias,Plata .925,$280 
50,Anillo de luna con zirconias,Plata .925,$250 
51,Dije y aretes de ojo turco con zirconias,Plata .925,$250 
52,Anillo de corazones ajustable,Plata .925,$220 
53,Pulsera de corazones sin brillo,Plata .925,$250 
54,Dije y aretes de arbol de la vida,Plata .925,$270 
55,Anillo luna y estrella ajustable,Plata .925,$140 
56,Anillo de serpiente con zirconia,Plata .925,$280 
57,Esclava para hombre sencilla,Plata .925,$180 
58,Anillo luna y flor,Plata .925,$310 
59,Collar de serpiente enredada,Plata .925,$300 
60,Anillo de luna y estrella grande ajustable ,Plata .925,$320 
61,Pulsera cubana para hombre ajustable,Plata .925,$330 
62,Esclava para hombre sencilla,Plata .925,$180 
63,Kit collar y aretes serpiente enredada,Plata .925,$280 
64,Pulsera de hombre sencilla,Plata .925,$330 
65,Collar de mariposa mitad brillos,Plata .925,$280 
66,Anillo Orejas de Gato ,Plata .925,$180 
67,Collar perla y corazón ,chapa de oro,$250 
68,Pulsera perla y corazón ,CHSPA DE ORO,$180 
69,Arracadas artesanales perla y oro,chapa de oro,$230 
70,Arracadas estrellita ,chapa de oro,$200 
71,Arracadas artesanAL lila ,chapa de oro,$230 
72,Anillo mini perlas,chapa de oro,$150 
73,Collar de rosa,Plata .925,$250 
74,collar de toro para hombre ,plata .925,$300 
75,Collar sideral ,plata .925,$350 
76,Collar bumbells ,plata .925,$250 
77,Collar iluminati,plata .925,$200 
78,Anillo dark para hombre ,plata .925,$280 
79,Anillo obsidiana para hombre ,plata .925,$300 
80,Anillo Ala para hombre ,plata .925,$280 
81,Anillo Salvaje para hombre ,plata .925,$350 
82,Pulsera saturno para hombre ,plata .925,$300 
83,Pulsera clip para hombre ,plata .925,$300 
84,pulsera dragon para hombre ,caucho y plata .925,$350 
85,pulsera dark para hombre , plata .925,$400 
86,Cadena clip para hombre ,plata .925,$300 
87,Arracada con zirconias ,plata .925 y baño de oro,$230 
88,broquel rayo,oro 10k,$250 
89,broquel corazón ,oro 10k,$290 
90,broquel dinosaurio,oro 14k,$400 
91,broquel zirconia azul ,oro 10k,$350 
92,Broquel zirconia morada,oro 10k,$350 
93,Arete inicial ,plata .925 ,$200 
94,trebol zirconia verde,oro 10k,$380 
95,trebol zirconia negro,oro 10k,$380 
96,broquel arracada con zirconia,oro 10k,$700 
97,Arete estrella y rayo con cadena zirconias,plata .925 y baño de oro,$500 
98,Semi arracada broquel serpiente,oro 14k ,$600 
99,broquel gota ,oro 10k,$280 
100,broquel conejo,oro 10k,$350 
